web_browser,operating_sys,from_url,to_url,city,longitude,latitude,time_zone,time_in,time_out
Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.ncbi.nlm.nih.gov,Danvers,42.576698,-70.954903,America/New_York,1331923247,1331822918
Mozilla/4.0,Windows NT 6.1,t.co,boxer.senate.gov,Washington,38.9007,-77.043098,America/New_York,1331923250,1331919941
Mozilla/5.0,Macintosh,direct,apod.nasa.gov,Braz,-23.549999,-46.616699,America/Sao_Paulo,1331923249,1331923068
Mozilla/5.0,Windows NT 6.1,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1331923251,1273672411
Mozilla/5.0,Windows NT 6.1,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1331923252,1273672506
Mozilla/5.0,Windows NT 5.1,plus.url.google.com,www.nasa.gov,Luban,51.116699,15.2833,Europe/Warsaw,1331923255,1331922854
Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,Seattle,47.5951,-122.332603,America/Los_Angeles,1331923258,1319563556
Mozilla/5.0,Macintosh,t.co,oversight.house.gov,Washington,38.937599,-77.092796,America/New_York,1331923259,1331815838
Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,Alexandria,38.790901,-77.094704,America/New_York,1331923259,1319563556
Mozilla/5.0,Windows,direct,toxtown.nlm.nih.gov,Marietta,33.953201,-84.5177,America/New_York,1331923262,1255769846
Mozilla/5.0,Windows NT 6.1,forum2.hkgolden.com,www.ssd.noaa.gov,Central District,22.2833,114.150002,Asia/Hong_Kong,1331923263,1317318030
Mozilla/5.0,Windows NT 6.1,forum2.hkgolden.com,www.usno.navy.mil,Central District,22.2833,114.150002,Asia/Hong_Kong,1331923263,1317318039
Mozilla/5.0,Macintosh,t.co,www.usda.gov,Buckfield,44.299702,-70.369797,America/New_York,1331923264,1331839576
Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,Venice,45.438599,12.3267,Europe/Rome,1331923264,1331922854
Mozilla/5.0,Windows NT 6.1,www.facebook.com,voyager.jpl.nasa.gov,Alcal,37.516701,-5.9833,Africa/Ceuta,1331923265,1331670549
Mozilla/5.0,Macintosh,www.facebook.com,www.nasa.gov,Davidsonville,38.939201,-76.635002,America/New_York,1331923267,1331922854
Mozilla/4.0,Windows NT 6.1,direct,portal.hud.gov,Hockessin,39.785,-75.682297,America/New_York,1331923267,1331064158
Mozilla/5.0,Macintosh,www.facebook.com,www.tricare.mil,Lititz,40.174999,-76.3078,America/New_York,1331923267,1330217829
Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Bilbao,43.25,-2.9667,Europe/Madrid,1331923268,1331922854
Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,Kuala Lumpur,3.1667,101.699997,Asia/Kuala_Lumpur,1331923269,1331922854
Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,Nicosia,35.166698,33.366699,Asia/Nicosia,1331923268,1331922854
Mozilla/5.0,Macintosh,direct,apod.nasa.gov,SPaulo,-23.5333,-46.616699,America/Sao_Paulo,1331923269,1331923068
Mozilla/5.0,Windows NT 5.1,plus.url.google.com,www.nasa.gov,Huddersfield,53.650002,-1.7833,Europe/London,1331923271,1331922854
Mozilla/5.0,Windows NT 5.1,www.facebook.com,www.nasa.gov,Fairport,43.100498,-77.426003,America/New_York,1331923271,1331922854
Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923276,1331922709
Mozilla/5.0,Macintosh,t.co,www.nasa.gov,Knoxville,35.972401,-83.959503,America/Chicago,1331923275,1331825200
Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923278,1331922709
Mozilla/4.0,Windows NT 6.1,direct,citizencorps.gov,Washington,38.897099,-77.040901,America/New_York,1331923279,1331665443
Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,Stamford,41.097801,-73.518799,America/New_York,1331923279,1319563556
Mozilla/5.0,iPhone,direct,radar.weather.gov,Bronx,40.849899,-73.8769,America/New_York,1331923279,1246975140
Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.tricare.mil,Saint Louis,38.6143,-90.444397,America/Chicago,1331923281,1330217829
Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,Rome,41.900002,12.4833,Europe/Rome,1331923280,1331922854
Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,Dudley,42.059399,-71.9356,America/New_York,1331923281,1319563556
Mozilla/5.0,iPhone,direct,www.irs.gov,Bowie,38.9576,-76.756599,America/New_York,1331923281,1328745636
Mozilla/5.0,Macintosh,direct,www.nysdot.gov,Los Angeles,34.065701,-118.436203,America/Los_Angeles,1331923284,1319563556
Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,Savannah,31.997101,-80.9645,America/New_York,1331923284,1319563556
Mozilla/4.0,Windows NT 6.1,www.aashtojournal.org,www.senate.gov,Washington,38.909698,-77.023102,America/New_York,1331923285,1331853485
